Time	statistics.connectTime (0)	statistics.connectTime (1)	statistics.connectTime (2)	PeerNetwork.retries (0)	PeerNetwork.retries (1)	PeerNetwork.retries (2)
20240528225212	6071.9000000059605	0	6751.0999999940395	1	0	1	ok
20240528225227	6213.100000023842	6347.5999999940395	0	1	1	0	ok
20240528225242	1813	0	1341.5999999940395	0	0	0	ok
20240528225251	1217.5	1272.199999988079	0	0	0	0	ok
20240528225301	1347.0999999940395	0	1148.9000000059605	0	0	0	ok
20240528225310	1356.4000000059605	1198.800000011921	0	0	0	0	ok
20240528225320	1816.0999999940395	0	6568.9000000059605	0	0	1	ok
20240528225334	1038.8999999761581	6478.4000000059605	0	0	1	0	ok
20240528225349	0	1738.2000000178814	1599.5	0	0	0	ok
20240528225358	1470.2000000178814	1066	0	0	0	0	ok
20240528225408	1529.5	11369.5	0	0	2	0	ok
20240528225428	0	1623.7999999821186	6116.699999988079	0	0	1	ok
20240528225442	6796.5	0	1262.9000000059605	1	0	0	ok
20240528225457	0	1437.9000000059605	1040	0	0	0	ok
20240528225506	0	1303.199999988079	6447.5	0	0	1	ok
20240528225521	1809.0999999940395	1353.9000000059605	0	0	0	0	ok
20240528225530	1038.5	6146.300000011921	0	0	1	0	ok
20240528225545	1318.8999999761581	1482.5	0	0	0	0	ok
20240528225554	1066.5999999940395	1733.5	0	0	0	0	ok
20240528225604	1744.4000000059605	0	1328.2000000178814	0	0	0	ok
20240528225613	0	1319.0999999940395	6137.0999999940395	0	0	1	ok
20240528225628	0	16436.59999999404	1020.2999999821186	0	3	0	ok
20240528225653	1057.4000000059605	0	11103.299999982119	0	0	3	ok
20240528225712	2991	7312.0999999940395	0	0	1	0	ok
20240528225727	16428.69999998808	1021.0999999940395	0	3	0	0	ok
20240528225752	0	6288.9000000059605	1171.7000000178814	0	1	0	ok
20240528225806	1350.300000011921	0	6118	0	0	1	ok
20240528225821	6804.9000000059605	1677.3999999761581	0	1	0	0	ok
20240528225835	1354.199999988079	11482	0	0	3	0	ok
20240528225855	1610	0	1748.5999999940395	0	0	0	ok
20240528225905	1745.7999999821186	6114.699999988079	0	0	1	0	ok
20240528225919	0	11618.199999988079	6105.5	0	2	1	ok
20240528225939	21819.09999999404	1295.7999999821186	0	4	0	0	ok
20240528230009	1018.2999999821186	0	11132.899999976158	0	0	3	ok
20240528230029	6109.4000000059605	6197.9000000059605	0	1	1	0	ok
20240528230043	6025.800000011921	0	6727.300000011921	1	0	2	ok
20240528230058	12743.199999988079	7278.700000017881	0	2	1	0	ok
20240528230120	11308.5	6457.0999999940395	0	2	2	0	ok
20240528230140	6388.5	0	6416.199999988079	1	0	1	ok
20240528230154	11451.09999999404	1327.7999999821186	0	2	0	0	ok
20240528230214	6677.4000000059605	6163.4000000059605	0	1	1	0	ok
20240528230229	11044.40000000596	0	1729.0999999940395	2	0	0	ok
20240528230248	1092.300000011921	0	11127.699999988079	0	0	2	ok
20240528230308	0	11133.200000017881	1322.5	0	2	0	ok
20240528230328	6222.4000000059605	0	1627.5	1	0	0	ok
20240528230342	1337.5	6127.300000011921	0	0	1	0	ok
20240528230357	1080	1229.8999999761581	0	0	0	0	ok
20240528230406	1800	6328.5999999940395	0	0	1	0	ok
20240528230421	1473	1308.800000011921	0	0	0	0	ok
20240528230430	1023.9000000059605	1160.3999999761581	0	0	0	0	ok
20240528230440	6834.300000011921	1003.8000000119209	0	2	0	0	ok
20240528230454	1052.699999988079	6146.4000000059605	0	0	1	0	ok
20240528230509	1018.9000000059605	1767.2000000178814	0	0	0	0	ok
20240528230519	6422.4000000059605	0	1308.9000000059605	2	0	0	ok
20240528230533	1561.300000011921	0	1291.5999999940395	0	0	0	ok
20240528230543	6018.799999982119	0	1735.800000011921	1	0	0	ok
20240528230557	1771.199999988079	0	1317.1000000238419	0	0	0	ok
20240528230607	1223.4000000059605	1053	0	0	0	0	ok
20240528230616	0	1472.2000000178814	1313.5999999940395	0	0	0	ok
20240528230626	0	1279.300000011921	1425.0999999940395	0	0	0	ok
20240528230635	1088	1804.199999988079	0	0	0	0	ok
20240528230645	0	1499.699999988079	5976.4000000059605	0	0	1	ok
20240528230659	1083.9000000059605	6213.699999988079	0	0	1	0	ok
20240528230714	1775.7999999821186	0	1581.5999999940395	0	0	0	ok
20240528230723	1813.5999999940395	1330.5999999940395	0	0	0	0	ok
20240528230733	6428.399999976158	6334.899999976158	0	2	1	0	ok
20240528230747	1774.7999999821186	0	1237	0	0	0	ok
20240528230757	1670	0	1751.5	0	0	0	ok
20240528230806	0	1207.5999999940395	1247	0	0	0	ok
20240528230816	1055	0	1362.199999988079	0	0	0	ok
20240528230825	11164.700000017881	1033.2000000178814	0	2	0	0	ok
20240528230845	1392	6461.9000000059605	0	0	2	0	ok
20240528230859	0	1759.5	11587.5	0	0	2	ok
20240528230919	2906.899999976158	0	2681.7000000178814	0	0	0	ok
20240528230931	0	16453.80000001192	6622.899999976158	0	3	1	ok
20240528230956	6833.5999999940395	1105.300000011921	0	1	0	0	ok
20240528231010	1662.9000000059605	0	1158.5999999940395	0	0	0	ok
20240528231020	6185.399999976158	1356.2999999821186	0	1	0	0	ok
20240528231035	11485.59999999404	0	985.7999999821186	3	0	0	ok
20240528231054	0	1459.6000000238419	5965.4000000059605	0	0	1	ok
20240528231109	1055.3999999761581	1198.2999999821186	0	0	0	0	ok
20240528231118	1654.0999999940395	0	1443.5999999940395	0	0	0	ok
20240528231128	0	1573.300000011921	1183.3999999761581	0	0	0	ok
20240528231137	1670.199999988079	0	11145.799999982119	0	0	2	ok
20240528231157	11505.90000000596	6041.199999988079	0	3	1	0	ok
20240528231217	0	11157.59999999404	6519.0999999940395	0	3	1	ok
20240528231237	6770.5	0	5979.5	1	0	1	ok
20240528231251	1019.7999999821186	1451.7000000178814	0	0	0	0	ok
20240528231301	6307.5	1479.5	0	1	0	0	ok
20240528231315	0	1172.300000011921	1008.4000000059605	0	0	0	ok
20240528231325	1222.2000000178814	1657.6000000238419	0	0	0	0	ok
20240528231334	0	6550.4000000059605	1460.800000011921	0	1	0	ok
20240528231349	0	6055.9000000059605	1721.2999999821186	0	1	0	ok
20240528231403	0	1067.5	6150	0	0	1	ok
20240528231418	6194.5999999940395	0	5967.4000000059605	2	0	1	ok
20240528231433	1642.5	6378.9000000059605	0	0	1	0	ok
20240528231447	1085.800000011921	0	16476.600000023842	0	0	3	ok
20240528231512	1689	0	1032.5	0	0	0	ok
20240528231521	0	11194.199999988079	1305.5999999940395	0	2	0	ok
20240528231541	1494.4000000059605	6384.4000000059605	0	0	1	0	ok
20240528231555	0	6743.5	1311.0999999940395	0	2	0	ok
20240528231610	16717.600000023842	1011.9000000059605	0	3	0	0	ok
20240528231635	11430.699999988079	0	1345.0999999940395	3	0	0	ok
20240528231654	0	6562.799999982119	11153.700000017881	0	1	3	ok
20240528231714	0	1788.300000011921	6042.199999988079	0	0	1	ok
20240528231729	6025.5999999940395	0	1144.699999988079	1	0	0	ok
20240528231743	1074.2999999821186	0	6758.9000000059605	0	0	1	ok
20240528231758	11633.299999982119	6436.199999988079	0	2	1	0	ok
20240528231818	1612.2999999821186	0	11717.799999982119	0	0	2	ok
20240528231837	1355.5	11193.899999976158	0	0	3	0	ok
20240528231857	0	1302.2999999821186	6730.600000023842	0	0	2	ok
20240528231912	1785.9000000059605	1071.300000011921	0	0	0	0	ok
20240528231921	1711.5999999940395	0	1579.699999988079	0	0	0	ok
20240528231931	0	6287.0999999940395	11157.100000023842	0	1	4	ok
20240528231951	0	6471.0999999940395	1011.5999999940395	0	2	0	ok
20240528232005	6090.700000017881	11162.299999982119	0	1	3	0	ok
20240528232025	0	1477.5	6542.5999999940395	0	0	1	ok
20240528232039	1080.2999999821186	6516.5999999940395	0	0	1	0	ok
20240528232054	6298.699999988079	0	1743.0999999940395	1	0	0	ok
20240528232109	1637.800000011921	0	6720	0	0	2	ok
20240528232123	1056.5999999940395	6171.899999976158	0	0	1	0	ok
20240528232138	6045.5	0	1727.9000000059605	1	0	0	ok
20240528232152	7411.0999999940395	2868.5	0	1	0	0	ok
20240528232207	1106.5999999940395	0	1470.800000011921	0	0	0	ok
20240528232217	16511.30000001192	0	1004.0999999940395	3	0	0	ok
20240528232241	6040	0	6148	1	0	1	ok
20240528232256	1867.699999988079	1332.7999999821186	0	0	0	0	ok
20240528232305	1608.9000000059605	6149.300000011921	0	0	1	0	ok
20240528232320	1047.5	0	6355.299999982119	0	0	2	ok
20240528232335	1631.4000000059605	1828.300000011921	0	0	0	0	ok
20240528232344	1514.4000000059605	6011	0	0	1	0	ok
20240528232359	6202	6028.200000017881	0	1	1	0	ok
20240528232413	0	6411	1345.6000000238419	0	2	0	ok
20240528232428	11507.800000011921	0	1013.5999999940395	3	0	0	ok
20240528232448	1465.3999999761581	0	1519.5	0	0	0	ok
20240528232457	1486.699999988079	0	1242.4000000059605	0	0	0	ok
20240528232507	21395.90000000596	0	6648.9000000059605	4	0	1	ok
20240528232537	11164.700000017881	11053.40000000596	0	2	2	0	ok
20240528232556	1630.5	0	6716.0999999940395	0	0	2	ok
20240528232611	1457.9000000059605	0	1223.1000000238419	0	0	0	ok
20240528232620	1502.9000000059605	0	1015.8000000119209	0	0	0	ok
20240528232630	2462.9000000059605	0	2524.0999999940395	0	0	0	ok
20240528232642	0	1492	1295	0	0	0	ok
20240528232651	1781.4000000059605	0	1302.6000000238419	0	0	0	ok
20240528232701	1230.7000000178814	0	1016.0999999940395	0	0	0	ok
20240528232710	0	1786.7999999821186	1552.2000000178814	0	0	0	ok
20240528232720	1798.8999999761581	1607	0	0	0	0	ok
20240528232729	0	1437.2000000178814	1319.800000011921	0	0	0	ok
20240528232739	0	1075	1399.0999999940395	0	0	0	ok
20240528232748	1498.699999988079	0	1308.4000000059605	0	0	0	ok
